Incident_ID,Device_ID,Issue_Type,Severity,Start_Time,End_Time
INC136,D003,High CPU,Low,2025-07-23 08:00:00,2025-07-23 09:00:00
INC137,D012,Network Failure,Medium,2025-07-17 10:00:00,2025-07-17 11:00:00
INC138,D019,Memory Leak,Medium,2025-08-18 02:00:00,2025-08-18 07:00:00
INC139,D004,Memory Leak,High,2025-07-29 07:00:00,2025-07-29 09:00:00
INC140,D007,Memory Leak,High,2025-07-30 11:00:00,2025-07-30 13:00:00
INC141,D017,High CPU,Critical,2025-08-09 11:00:00,2025-08-09 12:00:00
INC142,D013,High CPU,Medium,2025-07-13 18:00:00,2025-07-13 20:00:00
INC143,D014,Overheating,Critical,2025-06-08 06:00:00,2025-06-08 09:00:00
INC144,D017,Overheating,Medium,2025-06-23 18:00:00,2025-06-23 21:00:00
INC145,D014,Memory Leak,Critical,2025-07-01 04:00:00,2025-07-01 06:00:00
INC146,D004,Memory Leak,Medium,2025-08-10 19:00:00,2025-08-10 22:00:00
INC147,D015,Network Failure,High,2025-06-18 08:00:00,2025-06-18 13:00:00
INC148,D011,High CPU,Low,2025-08-21 02:00:00,2025-08-21 07:00:00
INC149,D014,High CPU,Medium,2025-07-06 03:00:00,2025-07-06 04:00:00
INC150,D014,Overheating,Medium,2025-08-04 17:00:00,2025-08-04 18:00:00
INC151,D008,High CPU,Medium,2025-06-30 01:00:00,2025-06-30 06:00:00
INC152,D019,Overheating,High,2025-06-23 19:00:00,2025-06-23 23:00:00
INC153,D014,High CPU,High,2025-07-02 04:00:00,2025-07-02 09:00:00
INC154,D005,High CPU,Medium,2025-08-22 23:00:00,2025-08-23 04:00:00
INC155,D008,High CPU,Low,2025-08-17 00:00:00,2025-08-17 02:00:00
INC156,D004,Memory Leak,Critical,2025-08-15 03:00:00,2025-08-15 06:00:00
INC157,D005,High CPU,High,2025-08-20 05:00:00,2025-08-20 08:00:00
INC158,D011,Memory Leak,Medium,2025-08-02 20:00:00,2025-08-02 21:00:00
INC159,D008,Network Failure,Critical,2025-08-05 13:00:00,2025-08-05 17:00:00
INC160,D016,Network Failure,High,2025-08-11 22:00:00,2025-08-12 00:00:00
INC161,D013,Overheating,High,2025-08-19 00:00:00,2025-08-19 04:00:00
INC162,D002,Network Failure,High,2025-07-23 02:00:00,2025-07-23 04:00:00
INC163,D006,High CPU,Low,2025-07-22 03:00:00,2025-07-22 06:00:00
INC164,D017,Overheating,Critical,2025-07-24 23:00:00,2025-07-25 00:00:00
INC165,D009,Memory Leak,Critical,2025-08-09 19:00:00,2025-08-09 20:00:00
INC166,D011,Network Failure,Medium,2025-08-04 07:00:00,2025-08-04 12:00:00
INC167,D008,Memory Leak,Medium,2025-08-03 09:00:00,2025-08-03 10:00:00
INC168,D019,Network Failure,Medium,2025-06-14 14:00:00,2025-06-14 16:00:00
INC169,D004,Network Failure,Low,2025-07-22 08:00:00,2025-07-22 13:00:00
INC170,D020,Network Failure,Low,2025-07-18 04:00:00,2025-07-18 05:00:00
INC171,D009,Memory Leak,Low,2025-07-31 03:00:00,2025-07-31 08:00:00
INC172,D001,Overheating,High,2025-07-25 00:00:00,2025-07-25 01:00:00
INC173,D002,Overheating,High,2025-08-05 07:00:00,2025-08-05 12:00:00
INC174,D006,Network Failure,High,2025-06-14 03:00:00,2025-06-14 04:00:00
INC175,D003,High CPU,High,2025-08-10 19:00:00,2025-08-10 20:00:00
INC176,D004,Network Failure,Medium,2025-06-27 01:00:00,2025-06-27 02:00:00
INC177,D003,Overheating,Critical,2025-07-13 06:00:00,2025-07-13 08:00:00
INC178,D011,Network Failure,Critical,2025-07-16 00:00:00,2025-07-16 04:00:00
INC179,D008,Network Failure,Critical,2025-08-13 07:00:00,2025-08-13 10:00:00
INC180,D007,Memory Leak,High,2025-08-12 11:00:00,2025-08-12 12:00:00
INC181,D010,High CPU,Critical,2025-07-23 03:00:00,2025-07-23 08:00:00
INC182,D016,Network Failure,Critical,2025-06-17 18:00:00,2025-06-17 23:00:00
INC183,D012,Network Failure,Low,2025-07-14 07:00:00,2025-07-14 08:00:00
INC184,D015,Overheating,High,2025-07-17 22:00:00,2025-07-18 02:00:00
INC185,D004,Overheating,High,2025-07-02 05:00:00,2025-07-02 10:00:00
INC186,D009,Memory Leak,Critical,2025-06-04 13:00:00,2025-06-04 16:00:00
INC187,D020,Memory Leak,Low,2025-08-08 09:00:00,2025-08-08 14:00:00
INC188,D001,Overheating,Medium,2025-07-29 04:00:00,2025-07-29 05:00:00
INC189,D019,Network Failure,High,2025-06-30 00:00:00,2025-06-30 02:00:00
INC190,D012,High CPU,Medium,2025-07-16 14:00:00,2025-07-16 19:00:00
INC191,D013,Overheating,Medium,2025-08-08 22:00:00,2025-08-09 03:00:00
INC192,D009,High CPU,High,2025-07-03 05:00:00,2025-07-03 09:00:00
INC193,D009,Network Failure,Low,2025-07-15 04:00:00,2025-07-15 09:00:00
INC194,D013,Network Failure,Medium,2025-06-13 07:00:00,2025-06-13 10:00:00
INC195,D019,Network Failure,Low,2025-07-09 21:00:00,2025-07-09 23:00:00
INC196,D011,High CPU,Medium,2025-08-16 00:00:00,2025-08-16 02:00:00
INC197,D002,Network Failure,Low,2025-07-17 21:00:00,2025-07-18 02:00:00
INC198,D016,Memory Leak,Critical,2025-06-06 20:00:00,2025-06-06 22:00:00
INC199,D016,Network Failure,Low,2025-07-17 06:00:00,2025-07-17 11:00:00
INC200,D018,High CPU,High,2025-06-18 02:00:00,2025-06-18 06:00:00
INC201,D016,Overheating,High,2025-07-16 20:00:00,2025-07-16 22:00:00
INC202,D009,Network Failure,Medium,2025-06-04 04:00:00,2025-06-04 09:00:00
INC203,D014,Overheating,Critical,2025-07-26 10:00:00,2025-07-26 14:00:00
INC204,D006,Overheating,Low,2025-08-22 18:00:00,2025-08-22 20:00:00
INC205,D016,Network Failure,Medium,2025-07-05 13:00:00,2025-07-05 17:00:00
INC206,D017,High CPU,Medium,2025-06-20 07:00:00,2025-06-20 10:00:00
INC207,D002,Overheating,Medium,2025-06-04 05:00:00,2025-06-04 09:00:00
INC208,D015,Overheating,Low,2025-06-16 09:00:00,2025-06-16 14:00:00
INC209,D001,High CPU,Medium,2025-07-24 04:00:00,2025-07-24 05:00:00
INC210,D016,Memory Leak,High,2025-08-10 11:00:00,2025-08-10 13:00:00
INC211,D016,Network Failure,High,2025-07-09 14:00:00,2025-07-09 18:00:00
INC212,D007,Memory Leak,Critical,2025-07-18 23:00:00,2025-07-19 01:00:00
INC213,D015,Overheating,Low,2025-08-13 01:00:00,2025-08-13 02:00:00
INC214,D016,Network Failure,Low,2025-06-24 04:00:00,2025-06-24 05:00:00
INC215,D020,Memory Leak,Medium,2025-06-12 04:00:00,2025-06-12 08:00:00
INC216,D004,Network Failure,Medium,2025-06-29 21:00:00,2025-06-29 23:00:00
INC217,D015,Memory Leak,Medium,2025-07-17 13:00:00,2025-07-17 15:00:00
INC218,D020,Network Failure,Medium,2025-07-07 09:00:00,2025-07-07 13:00:00
INC219,D010,Overheating,Medium,2025-06-19 12:00:00,2025-06-19 17:00:00
INC220,D013,Memory Leak,Medium,2025-06-15 01:00:00,2025-06-15 02:00:00
INC221,D002,Network Failure,High,2025-07-03 23:00:00,2025-07-04 03:00:00
INC222,D018,High CPU,Low,2025-07-11 01:00:00,2025-07-11 06:00:00
INC223,D011,Memory Leak,Critical,2025-08-12 09:00:00,2025-08-12 12:00:00
INC224,D007,Memory Leak,Low,2025-08-08 08:00:00,2025-08-08 13:00:00
INC225,D003,High CPU,Critical,2025-06-07 17:00:00,2025-06-07 22:00:00
INC226,D019,Memory Leak,Medium,2025-08-22 19:00:00,2025-08-22 23:00:00
INC227,D007,High CPU,High,2025-07-09 00:00:00,2025-07-09 03:00:00
INC228,D015,Memory Leak,Medium,2025-08-03 05:00:00,2025-08-03 06:00:00
INC229,D010,High CPU,Low,2025-07-28 22:00:00,2025-07-29 03:00:00
INC230,D017,High CPU,Medium,2025-06-01 13:00:00,2025-06-01 14:00:00
INC231,D008,High CPU,Low,2025-06-13 06:00:00,2025-06-13 10:00:00
INC232,D014,Memory Leak,Critical,2025-08-21 02:00:00,2025-08-21 05:00:00
INC233,D009,Memory Leak,High,2025-06-26 13:00:00,2025-06-26 14:00:00
INC234,D016,High CPU,High,2025-08-06 08:00:00,2025-08-06 11:00:00
INC235,D008,High CPU,High,2025-07-26 05:00:00,2025-07-26 08:00:00
INC236,D011,Overheating,Critical,2025-07-18 15:00:00,2025-07-18 20:00:00
INC237,D010,Network Failure,Critical,2025-07-30 17:00:00,2025-07-30 20:00:00
INC238,D008,Memory Leak,Low,2025-08-19 14:00:00,2025-08-19 16:00:00
INC239,D009,Memory Leak,Medium,2025-08-20 12:00:00,2025-08-20 16:00:00
INC240,D017,Overheating,Critical,2025-07-09 10:00:00,2025-07-09 12:00:00
INC241,D019,Overheating,High,2025-06-05 10:00:00,2025-06-05 15:00:00
INC242,D013,Overheating,Low,2025-06-01 07:00:00,2025-06-01 12:00:00
INC243,D003,Memory Leak,High,2025-06-29 13:00:00,2025-06-29 15:00:00
INC244,D014,Memory Leak,Low,2025-06-09 07:00:00,2025-06-09 12:00:00
INC245,D019,Network Failure,Critical,2025-07-13 19:00:00,2025-07-13 20:00:00
INC246,D019,Network Failure,High,2025-06-27 20:00:00,2025-06-28 01:00:00
INC247,D002,High CPU,High,2025-07-29 09:00:00,2025-07-29 14:00:00
INC248,D002,Overheating,High,2025-08-20 16:00:00,2025-08-20 21:00:00
INC249,D018,Memory Leak,Medium,2025-06-03 23:00:00,2025-06-04 02:00:00
INC250,D016,Overheating,High,2025-07-01 05:00:00,2025-07-01 09:00:00
INC251,D003,Overheating,Critical,2025-07-04 22:00:00,2025-07-05 01:00:00
INC252,D006,High CPU,Low,2025-06-01 13:00:00,2025-06-01 17:00:00
INC253,D007,Memory Leak,High,2025-07-01 19:00:00,2025-07-01 21:00:00
INC254,D015,High CPU,Low,2025-07-23 00:00:00,2025-07-23 02:00:00
INC255,D015,High CPU,Low,2025-07-14 15:00:00,2025-07-14 16:00:00
INC256,D017,Network Failure,Medium,2025-07-22 07:00:00,2025-07-22 11:00:00
INC257,D009,Overheating,Medium,2025-07-25 10:00:00,2025-07-25 14:00:00
INC258,D017,Network Failure,Low,2025-08-03 08:00:00,2025-08-03 09:00:00
INC259,D020,Network Failure,Critical,2025-06-23 06:00:00,2025-06-23 08:00:00
INC260,D020,Memory Leak,High,2025-07-27 21:00:00,2025-07-28 01:00:00
INC261,D003,High CPU,Medium,2025-08-16 01:00:00,2025-08-16 02:00:00
INC262,D019,Overheating,Low,2025-07-22 21:00:00,2025-07-23 00:00:00
INC263,D007,Network Failure,High,2025-07-23 16:00:00,2025-07-23 18:00:00
INC264,D008,High CPU,Medium,2025-08-02 11:00:00,2025-08-02 14:00:00
INC265,D007,Memory Leak,Critical,2025-07-05 07:00:00,2025-07-05 10:00:00
INC266,D002,Network Failure,Medium,2025-08-01 21:00:00,2025-08-01 22:00:00
INC267,D018,Memory Leak,Medium,2025-08-22 15:00:00,2025-08-22 16:00:00
INC268,D004,Overheating,Low,2025-07-12 19:00:00,2025-07-12 23:00:00
INC269,D020,Overheating,Medium,2025-06-02 21:00:00,2025-06-02 23:00:00
INC270,D005,Overheating,Low,2025-07-20 19:00:00,2025-07-21 00:00:00
INC271,D018,Network Failure,Medium,2025-06-23 10:00:00,2025-06-23 11:00:00
INC272,D018,High CPU,Medium,2025-06-13 06:00:00,2025-06-13 11:00:00
INC273,D008,Network Failure,Medium,2025-06-02 03:00:00,2025-06-02 08:00:00
INC274,D016,Overheating,Critical,2025-06-23 18:00:00,2025-06-23 19:00:00
INC275,D020,Memory Leak,Medium,2025-08-02 01:00:00,2025-08-02 05:00:00
INC276,D017,High CPU,Medium,2025-07-15 19:00:00,2025-07-15 20:00:00
INC277,D002,Overheating,High,2025-07-02 23:00:00,2025-07-03 02:00:00
INC278,D006,Overheating,High,2025-07-17 13:00:00,2025-07-17 16:00:00
INC279,D007,Network Failure,Medium,2025-07-29 09:00:00,2025-07-29 12:00:00
INC280,D002,Network Failure,Medium,2025-06-27 02:00:00,2025-06-27 04:00:00
INC281,D008,Memory Leak,Critical,2025-06-02 14:00:00,2025-06-02 18:00:00
INC282,D004,Overheating,Low,2025-08-17 07:00:00,2025-08-17 08:00:00
INC283,D016,High CPU,Critical,2025-06-03 16:00:00,2025-06-03 20:00:00
INC284,D016,Network Failure,High,2025-08-18 04:00:00,2025-08-18 07:00:00
INC285,D019,High CPU,High,2025-08-04 22:00:00,2025-08-05 01:00:00
INC286,D003,Memory Leak,Medium,2025-06-26 15:00:00,2025-06-26 19:00:00
INC287,D005,Network Failure,High,2025-07-02 11:00:00,2025-07-02 12:00:00
INC288,D007,Overheating,High,2025-07-23 14:00:00,2025-07-23 19:00:00
INC289,D017,High CPU,Critical,2025-07-31 05:00:00,2025-07-31 07:00:00
INC290,D006,Network Failure,High,2025-06-06 04:00:00,2025-06-06 09:00:00
INC291,D018,Memory Leak,Medium,2025-08-07 06:00:00,2025-08-07 08:00:00
INC292,D013,Overheating,Medium,2025-07-03 07:00:00,2025-07-03 12:00:00
INC293,D017,Overheating,Medium,2025-07-24 02:00:00,2025-07-24 04:00:00
INC294,D020,Overheating,High,2025-06-08 11:00:00,2025-06-08 16:00:00
INC295,D015,High CPU,Critical,2025-06-06 02:00:00,2025-06-06 05:00:00
INC296,D012,High CPU,Medium,2025-07-17 02:00:00,2025-07-17 07:00:00
INC297,D007,Overheating,High,2025-06-18 19:00:00,2025-06-18 21:00:00
INC298,D011,High CPU,High,2025-08-05 11:00:00,2025-08-05 14:00:00
INC299,D009,Overheating,Low,2025-08-02 03:00:00,2025-08-02 05:00:00
